UserID , Age , Gender , VRHeadset , Duration , MotionSickness ,  ImmersionLevel
1 , 100 , Female , PlayStation VR , 53.58201364112513 , 2.4718103628768175
2 , 82 , Male , PlayStation VR , 52.468492251635354 , 3.6363319088130415
3 , 35 , Male , HTC Vive , 27.872400019221764 , 7.415998256419637
4 , 29 , Male , PlayStation VR , 11.965792147966594 , 8.771724615673659
5 , 19 , Female , PlayStation VR , 59.35318686369331 , 4.970235303426997
6 , 25 , Male , HTC Vive , 38.962464236210046 , 3.0129957891256387
7 , 61 , Male , Oculus Rift , 21.70774136036173 , 9.965605976665913
8 , 72 , Female , HTC Vive , 6.556107806634528 , 6.145103360340422
9 , 75 , Male , PlayStation VR , 56.068822954526695 , 7.969554923409918
10 , 73 , Female , Oculus Rift , 50.68650497621895 , 5.31998231223124
11 , 32 , Female , HTC Vive , 52.910806241554496 , 4.255446608314669
12 , 55 , Male , HTC Vive , 38.20760606664787 , 6.5438387732292504
13 , 52 , Female , HTC Vive , 5.4129023573225625 , 1.6289509095918424
14 , 62 , Female , HTC Vive , 44.16925107687931 , 2.1060588698757874
15 , 58 , Male , HTC Vive , 17.41566816260689 , 4.970770220760447
16 , 25 , Female , PlayStation VR , 50.674790648848216 , 8.889834098123243
17 , 30 , Male , HTC Vive , 7.248485132812579 , 3.3043269358875085
18 , 19 , Female , HTC Vive , 30.452827758479202 , 2.8381339133515624
19 , 11 , Male , HTC Vive , 24.388224782167597 , 1.0511088724867583
20 , 67 , Female , PlayStation VR , 32.74509883286654 , 1.4912599856305393
21 , 72 , Female , HTC Vive , 53.93932687560543 , 5.720451563546791
22 , 74 , Male , Oculus Rift , 56.61713851987657 , 8.868857622442244
23 , 30 , Male , PlayStation VR , 45.21249227926091 , 8.67365661938741
24 , 59 , Female , Oculus Rift , 50.25336930455245 , 2.3253187329606817
25 , 40 , Male , PlayStation VR , 14.882130723226696 , 2.6864266189632153
26 , 16 , Female , PlayStation VR , 36.759265712294585 , 7.491197129791559
27 , 24 , Male , PlayStation VR , 25.528373203938045 , 5.426440220858324
28 , 91 , Male , Oculus Rift , 47.05541789281728 , 4.116013036054819
29 , 70 , Female , HTC Vive , 31.75510923848904 , 2.406353273119533
30 , 83 , Male , HTC Vive , 55.42554595693355 , 6.215877214372367
31 , 95 , Male , Oculus Rift , 10.989768175859343 , 5.025762452453906
32 , 42 , Male , PlayStation VR , 45.60684426775539 , 4.783803059951763
33 , 90 , Male , Oculus Rift , 22.4468059457919 , 5.861999235553338
34 , 76 , Male , HTC Vive , 40.71821535004931 , 9.58339369015133
35 , 24 , Male , HTC Vive , 33.776117402065644 , 1.2587714333526412
36 , 16 , Male , Oculus Rift , 51.71532505209042 , 4.505288808821458
37 , 88 , Male , HTC Vive , 47.39583687129338 , 1.5711548612493247
38 , 16 , Female , Oculus Rift , 14.542384754667724 , 9.953393590542483
39 , 87 , Female , PlayStation VR , 47.075993843595974 , 2.7398654956161295
40 , 26 , Male , Oculus Rift , 34.34765632585891 , 4.3934892291984875
41 , 70 , Female , Oculus Rift , 37.92471296974804 , 5.485142231721062
42 , 40 , Male , HTC Vive , 51.064680599390265 , 4.0198417242846185
43 , 51 , Male , HTC Vive , 29.983451835702702 , 9.996431723285143
44 , 99 , Male , PlayStation VR , 18.149506166063496 , 2.0186104430996843
45 , 76 , Male , PlayStation VR , 36.801454407369775 , 9.864013919310999
46 , 84 , Male , PlayStation VR , 25.838131260689288 , 1.1378619423318812
47 , 12 , Female , HTC Vive , 57.562080904391024 , 3.6282174025118294
48 , 55 , Female , HTC Vive , 33.66823212187228 , 7.870723667650077
49 , 70 , Male , Oculus Rift , 6.198667505320587 , 8.006749122217087
50 , 12 , Male , PlayStation VR , 19.32336110985443 , 3.2335470451344017
51 , 34 , Female , Oculus Rift , 52.198527612862314 , 8.947220520190243
52 , 57 , Male , PlayStation VR , 24.62416645623425 , 4.986103124786837
53 , 99 , Male , Oculus Rift , 14.852378243591353 , 8.538163160636657
54 , 68 , Female , HTC Vive , 58.936682207231385 , 9.76071384828479
55 , 48 , Male , PlayStation VR , 14.332252541214713 , 2.3416063469526587
56 , 34 , Male , HTC Vive , 55.9605948815949 , 1.9875353650911092
57 , 27 , Male , PlayStation VR , 20.036795418838985 , 5.727539125811997
58 , 29 , Female , PlayStation VR , 47.0972964459538 , 2.9688104278361447
59 , 59 , Female , HTC Vive , 41.78186186475973 , 6.60036395871488
60 , 78 , Female , PlayStation VR , 6.488042199028925 , 4.900436305317743
61 , 59 , Male , PlayStation VR , 32.008740717021404 , 9.646762271498256
62 , 40 , Male , Oculus Rift , 23.705380914690316 , 6.144352526060549
63 , 24 , Female , HTC Vive , 46.261468007642726 , 5.248037309609119
64 , 17 , Male , Oculus Rift , 35.466742868886364 , 4.440020735601314
65 , 76 , Male , PlayStation VR , 47.916392468431916 , 6.260877768023183
66 , 48 , Female , Oculus Rift , 21.64501767302503 , 9.689118695053436
67 , 78 , Female , PlayStation VR , 19.209670174634695 , 8.693999125419403
68 , 68 , Female , Oculus Rift , 31.91114562981776 , 8.445601677185126
69 , 91 , Male , PlayStation VR , 38.41817913054703 , 8.263761048875104
70 , 87 , Female , Oculus Rift , 59.85880856751127 , 9.117906362398466
71 , 22 , Male , HTC Vive , 19.094759830928737 , 7.154141953968466
72 , 83 , Female , PlayStation VR , 5.3589224221855325 , 1.3031812517752024
73 , 20 , Male , Oculus Rift , 44.32241032598235 , 3.926983294127483
74 , 96 , Female , PlayStation VR , 52.63646977918405 , 6.254804775415122
75 , 30 , Male , PlayStation VR , 46.425507236470004 , 8.73149645520817
76 , 37 , Female , Oculus Rift , 44.599893363151736 , 5.07285138552049
77 , 14 , Female , PlayStation VR , 45.509290889167914 , 1.3875660808350785
78 , 85 , Female , Oculus Rift , 29.18446142682088 , 4.573757767272234
79 , 56 , Female , Oculus Rift , 20.784817621043693 , 2.104890544790388
80 , 53 , Male , HTC Vive , 5.216833089910098 , 6.646808483414884
81 , 44 , Female , PlayStation VR , 23.475948161470804 , 6.934484949419037
82 , 48 , Female , PlayStation VR , 45.51589171259379 , 5.698073852343494
83 , 42 , Female , Oculus Rift , 27.01291752612451 , 2.3695865019641715
84 , 98 , Female , Oculus Rift , 27.479688324782224 , 4.716450744534281
85 , 42 , Male , PlayStation VR , 7.384014704555388 , 5.7462051327919195
86 , 13 , Female , HTC Vive , 37.48999945031589 , 5.888311958300778
87 , 46 , Male , HTC Vive , 20.468786144535617 , 4.6733214017819185
88 , 79 , Female , Oculus Rift , 19.613557351245774 , 2.3643386617581488
89 , 72 , Female , HTC Vive , 37.842921316114925 , 2.403805051070103
90 , 71 , Female , PlayStation VR , 5.543392436104811 , 6.126990985826008
91 , 58 , Male , PlayStation VR , 28.013837136097187 , 2.2681434439173147
92 , 27 , Male , PlayStation VR , 48.37541621258414 , 8.247520764129442
93 , 99 , Female , HTC Vive , 45.16633191784791 , 8.91323810277292
94 , 50 , Female , Oculus Rift , 24.338060303655197 , 1.6734926402658776
95 , 83 , Female , PlayStation VR , 40.55975161868438 , 4.510990598304939
96 , 61 , Male , HTC Vive , 48.16704018122395 , 1.6391007950016427
97 , 67 , Female , HTC Vive , 38.80622962896612 , 6.251346449265174
98 , 66 , Female , Oculus Rift , 11.371741670444521 , 6.732356299381588
99 , 99 , Male , PlayStation VR , 10.74037650725492 , 6.575092529283133
