UserID , Age , Gender , VRHeadset , Duration , MotionSickness , ImmersionLevel
0 , 53 , Male , Oculus Rift , 10.576403328416642 , 7 , 1
1 , 68 , Female , HTC Vive , 51.45386547897666 , 7 , 5
2 , 99 , Female , HTC Vive , 54.042411386315244 , 10 , 2
3 , 72 , Male , HTC Vive , 23.662986689949847 , 6 , 3
4 , 76 , Female , Oculus Rift , 29.42631308115292 , 5 , 5
5 , 65 , Female , Oculus Rift , 29.385465155275952 , 1 , 4
6 , 34 , Male , HTC Vive , 36.14281932290505 , 10 , 5
7 , 84 , Female , HTC Vive , 59.54733071065843 , 9 , 2
8 , 96 , Male , PlayStation VR , 39.020864360328055 , 8 , 3
9 , 96 , Female , PlayStation VR , 52.96564911806802 , 9 , 5
10 , 72 , Male , HTC Vive , 52.79732361986702 , 4 , 1
11 , 83 , Female , Oculus Rift , 55.23927446387926 , 3 , 1
12 , 58 , Female , PlayStation VR , 23.600649038668642 , 9 , 2
13 , 54 , Male , PlayStation VR , 9.99133760995495 , 5 , 5
14 , 33 , Female , Oculus Rift , 46.35096082943093 , 8 , 4
15 , 86 , Male , Oculus Rift , 48.39211770687561 , 1 , 1
16 , 64 , Female , PlayStation VR , 37.23080003467929 , 9 , 1
17 , 76 , Male , PlayStation VR , 40.9199009770503 , 7 , 4
18 , 52 , Male , HTC Vive , 54.45389984011738 , 1 , 5
19 , 71 , Female , PlayStation VR , 31.88434135263161 , 9 , 2
20 , 49 , Male , HTC Vive , 49.93075603394806 , 1 , 2
21 , 67 , Female , HTC Vive , 33.62046372032194 , 6 , 4
22 , 74 , Female , PlayStation VR , 36.573063044732486 , 2 , 4
23 , 52 , Male , PlayStation VR , 51.62221136173741 , 2 , 3
24 , 56 , Male , Oculus Rift , 30.038900220472122 , 5 , 3
25 , 57 , Male , HTC Vive , 55.30349270535997 , 2 , 4
26 , 30 , Female , Oculus Rift , 36.99158645180226 , 6 , 1
27 , 72 , Female , HTC Vive , 7.97437224352001 , 2 , 5
28 , 75 , Female , HTC Vive , 26.603085503813 , 8 , 4
29 , 58 , Male , HTC Vive , 5.062370584826866 , 1 , 4
30 , 64 , Male , Oculus Rift , 7.27562409820464 , 8 , 5
31 , 71 , Male , PlayStation VR , 20.68367890925216 , 5 , 4
32 , 80 , Male , PlayStation VR , 23.647944575552813 , 2 , 5
33 , 68 , Male , HTC Vive , 22.167922505988912 , 10 , 4
34 , 46 , Female , HTC Vive , 38.611984721619415 , 3 , 1
35 , 62 , Female , PlayStation VR , 10.958406234173626 , 6 , 1
36 , 98 , Female , PlayStation VR , 12.76912804748447 , 7 , 2
37 , 79 , Female , Oculus Rift , 11.962307824440284 , 3 , 5
38 , 75 , Male , Oculus Rift , 54.52033432234853 , 5 , 3
39 , 39 , Male , HTC Vive , 18.9021646892172 , 8 , 5
40 , 46 , Female , Oculus Rift , 19.899010556523777 , 10 , 4
41 , 78 , Female , HTC Vive , 17.88948121883919 , 10 , 4
42 , 67 , Female , PlayStation VR , 8.258668384483547 , 4 , 2
43 , 79 , Male , Oculus Rift , 9.786642845643694 , 2 , 1
44 , 82 , Male , HTC Vive , 29.142747735773746 , 3 , 2
45 , 73 , Female , HTC Vive , 36.26535930788325 , 7 , 3
46 , 46 , Female , PlayStation VR , 38.422450597094404 , 4 , 5
47 , 65 , Female , HTC Vive , 5.7817743075061 , 9 , 4
48 , 86 , Male , HTC Vive , 50.42215446420363 , 8 , 5
49 , 98 , Female , HTC Vive , 32.83523015855474 , 1 , 1
50 , 67 , Female , Oculus Rift , 52.81784918694888 , 8 , 2
51 , 87 , Female , HTC Vive , 22.454485726856134 , 7 , 4
52 , 77 , Female , Oculus Rift , 20.094446376223182 , 10 , 1
53 , 40 , Female , Oculus Rift , 37.70277548888378 , 10 , 5
54 , 96 , Male , PlayStation VR , 19.046692123102403 , 7 , 1
55 , 74 , Female , HTC Vive , 42.225195493831386 , 6 , 1
56 , 75 , Female , HTC Vive , 40.34096159687972 , 6 , 4
57 , 39 , Female , Oculus Rift , 52.961036794632655 , 6 , 4
58 , 59 , Male , Oculus Rift , 15.8495087042478 , 5 , 2
59 , 45 , Male , PlayStation VR , 14.457896723660424 , 7 , 3
60 , 55 , Female , HTC Vive , 11.6376344166735 , 9 , 4
61 , 82 , Female , HTC Vive , 35.89326417596363 , 2 , 4
62 , 40 , Male , HTC Vive , 54.93687964619926 , 3 , 4
63 , 90 , Male , PlayStation VR , 33.621163983547554 , 2 , 1
64 , 55 , Female , Oculus Rift , 33.13061233769247 , 5 , 4
65 , 69 , Male , HTC Vive , 34.258477098628624 , 9 , 3
66 , 79 , Male , PlayStation VR , 22.99863924827803 , 1 , 2
67 , 24 , Male , Oculus Rift , 21.14612171648325 , 8 , 2
68 , 54 , Female , PlayStation VR , 33.72257382702854 , 3 , 2
69 , 99 , Female , Oculus Rift , 46.30992960923132 , 2 , 3
70 , 74 , Male , Oculus Rift , 46.64567662220763 , 7 , 4
71 , 87 , Female , PlayStation VR , 39.274728324178824 , 4 , 2
72 , 90 , Male , Oculus Rift , 57.16270520243205 , 4 , 5
73 , 31 , Female , HTC Vive , 8.674139476225607 , 6 , 4
74 , 77 , Female , HTC Vive , 18.483038129818606 , 1 , 5
75 , 59 , Male , Oculus Rift , 26.44749914640441 , 2 , 1
76 , 65 , Female , HTC Vive , 13.376384563412282 , 3 , 5
77 , 40 , Female , Oculus Rift , 38.91469273601069 , 8 , 4
78 , 98 , Female , HTC Vive , 31.891587016086426 , 2 , 4
79 , 97 , Male , Oculus Rift , 39.70799591220336 , 9 , 5
80 , 48 , Female , HTC Vive , 28.826355805566656 , 1 , 2
81 , 45 , Male , Oculus Rift , 16.51119795806663 , 5 , 5
82 , 56 , Male , Oculus Rift , 33.328735812846176 , 1 , 1
83 , 34 , Male , Oculus Rift , 42.487240037858264 , 3 , 5
84 , 76 , Female , PlayStation VR , 14.876388202867554 , 8 , 3
85 , 76 , Male , PlayStation VR , 38.841403527691824 , 4 , 5
86 , 60 , Female , HTC Vive , 39.422437365259746 , 2 , 3
87 , 43 , Female , Oculus Rift , 34.42473246046383 , 10 , 3
88 , 70 , Female , PlayStation VR , 13.980386021395494 , 6 , 4
89 , 90 , Female , Oculus Rift , 11.565595730708655 , 5 , 1
90 , 93 , Male , Oculus Rift , 15.449641824867982 , 5 , 1
91 , 96 , Male , Oculus Rift , 11.65253146370129 , 7 , 5
92 , 84 , Male , PlayStation VR , 32.7025693178228 , 4 , 5
93 , 46 , Male , Oculus Rift , 54.77811277713044 , 1 , 2
94 , 69 , Male , Oculus Rift , 44.96639426748507 , 1 , 4
95 , 43 , Male , PlayStation VR , 56.30852161146652 , 9 , 5
96 , 62 , Male , HTC Vive , 50.098952714090345 , 4 , 5
97 , 51 , Male , PlayStation VR , 28.109593008073233 , 4 , 2
98 , 97 , Female , HTC Vive , 57.84062061579606 , 2 , 3
99 , 100 , Male , HTC Vive , 26.967552540701853 , 2 , 5
100 , 61 , Male , PlayStation VR , 37.043477404276835 , 2 , 2
101 , 97 , Female , PlayStation VR , 34.14778498550426 , 2 , 2
102 , 65 , Male , HTC Vive , 40.01027917883343 , 4 , 3
103 , 37 , Female , HTC Vive , 13.961207896662323 , 7 , 1
104 , 94 , Female , Oculus Rift , 18.747902800221674 , 7 , 4
105 , 56 , Male , Oculus Rift , 50.65115364448832 , 6 , 1
106 , 97 , Male , PlayStation VR , 14.843669721667585 , 2 , 5
107 , 86 , Male , HTC Vive , 47.29219176726591 , 9 , 4
108 , 53 , Male , HTC Vive , 27.87847712439357 , 6 , 4
109 , 81 , Female , Oculus Rift , 52.2656025487806 , 5 , 3
110 , 52 , Male , HTC Vive , 44.51082965130595 , 10 , 3
111 , 51 , Male , HTC Vive , 13.575086966264445 , 2 , 3
112 , 43 , Female , PlayStation VR , 51.855732652854975 , 2 , 5
113 , 33 , Male , PlayStation VR , 49.24242719094505 , 1 , 2
114 , 60 , Female , Oculus Rift , 23.062568595432694 , 3 , 2
115 , 80 , Female , Oculus Rift , 56.68797488734687 , 3 , 3
116 , 90 , Female , PlayStation VR , 53.33648761400431 , 2 , 3
117 , 44 , Male , PlayStation VR , 35.6374977731909 , 4 , 5
118 , 58 , Female , HTC Vive , 28.090176033265635 , 8 , 1
119 , 99 , Male , HTC Vive , 42.59024209315632 , 5 , 4
120 , 49 , Male , HTC Vive , 22.864973363175046 , 3 , 4
121 , 34 , Male , HTC Vive , 54.55395094639215 , 10 , 1
122 , 47 , Female , HTC Vive , 36.56722044692593 , 5 , 4
123 , 34 , Male , HTC Vive , 39.155007964586936 , 6 , 3
124 , 57 , Male , Oculus Rift , 27.44836198525472 , 8 , 3
125 , 86 , Male , HTC Vive , 24.347925104604606 , 6 , 4
126 , 42 , Male , HTC Vive , 22.50157504571846 , 5 , 2
127 , 84 , Female , HTC Vive , 24.465094488686482 , 5 , 3
128 , 69 , Male , Oculus Rift , 59.05439535931408 , 8 , 3
129 , 91 , Female , PlayStation VR , 58.962634450958106 , 6 , 2
130 , 73 , Male , Oculus Rift , 35.6254583335702 , 2 , 3
131 , 99 , Female , PlayStation VR , 37.29944194302821 , 6 , 5
132 , 89 , Female , HTC Vive , 53.79752226146952 , 7 , 1
133 , 97 , Female , Oculus Rift , 11.348868471423422 , 1 , 1
134 , 45 , Male , Oculus Rift , 19.60234205087953 , 9 , 3
135 , 59 , Female , Oculus Rift , 15.358202069726527 , 7 , 5
136 , 86 , Female , PlayStation VR , 39.52113142976044 , 3 , 5
137 , 64 , Male , Oculus Rift , 49.110866460644104 , 8 , 4
138 , 53 , Male , Oculus Rift , 37.17265258852625 , 7 , 2
139 , 71 , Female , PlayStation VR , 11.272463421552814 , 10 , 3
140 , 42 , Female , HTC Vive , 20.95420034413989 , 5 , 2
141 , 85 , Female , Oculus Rift , 40.97087108025147 , 8 , 2
142 , 21 , Male , Oculus Rift , 9.546659221871476 , 4 , 5
143 , 40 , Male , PlayStation VR , 45.07355625789681 , 7 , 5
144 , 68 , Female , PlayStation VR , 39.352238984268645 , 1 , 5
145 , 61 , Male , HTC Vive , 14.875930206796387 , 1 , 4
146 , 44 , Male , PlayStation VR , 28.59958288162104 , 4 , 4
147 , 92 , Male , PlayStation VR , 43.415673515524404 , 6 , 1
148 , 69 , Female , PlayStation VR , 52.39076281455336 , 1 , 1
149 , 47 , Female , HTC Vive , 32.44161848299213 , 7 , 5
150 , 58 , Female , Oculus Rift , 40.407171538084995 , 7 , 1
151 , 40 , Male , Oculus Rift , 10.111750366681889 , 5 , 1
152 , 81 , Female , PlayStation VR , 53.128634111078746 , 6 , 2
153 , 83 , Male , PlayStation VR , 22.128650818600327 , 8 , 2
154 , 84 , Female , Oculus Rift , 57.27180213243056 , 5 , 5
155 , 61 , Male , Oculus Rift , 52.410944288001396 , 6 , 1
156 , 92 , Female , Oculus Rift , 26.36005674174004 , 5 , 5
157 , 62 , Male , Oculus Rift , 52.07819298439839 , 3 , 5
158 , 86 , Male , HTC Vive , 8.123197438273202 , 8 , 1
159 , 99 , Male , Oculus Rift , 22.202348348316605 , 9 , 4
160 , 87 , Female , Oculus Rift , 39.91087096660246 , 3 , 2
161 , 89 , Male , PlayStation VR , 18.92179653643445 , 5 , 3
162 , 95 , Female , HTC Vive , 28.118427856992035 , 5 , 4
163 , 96 , Female , Oculus Rift , 40.800858866579475 , 6 , 3
164 , 98 , Female , PlayStation VR , 21.270953857393692 , 6 , 5
165 , 87 , Male , HTC Vive , 24.555743233345062 , 2 , 2
166 , 58 , Male , PlayStation VR , 18.782281720672426 , 3 , 4
167 , 86 , Male , HTC Vive , 30.164397281606718 , 10 , 3
168 , 93 , Male , HTC Vive , 34.0401456679351 , 3 , 4
169 , 62 , Male , HTC Vive , 33.400534779820454 , 6 , 2
170 , 46 , Female , Oculus Rift , 54.19348499737713 , 3 , 3
171 , 90 , Male , Oculus Rift , 27.44663966636479 , 7 , 3
172 , 68 , Female , Oculus Rift , 22.16101324828142 , 1 , 5
173 , 52 , Male , Oculus Rift , 54.766069563749625 , 10 , 4
174 , 94 , Female , Oculus Rift , 18.929919921363684 , 10 , 5
175 , 88 , Female , Oculus Rift , 37.78002005273441 , 7 , 4
176 , 60 , Female , PlayStation VR , 55.60301089023745 , 6 , 5
177 , 86 , Female , HTC Vive , 17.392478502829974 , 6 , 5
178 , 87 , Female , HTC Vive , 42.121228523665096 , 1 , 2
179 , 80 , Female , Oculus Rift , 49.31015707671061 , 9 , 2
180 , 25 , Male , HTC Vive , 28.414923404865803 , 10 , 5
181 , 34 , Male , HTC Vive , 33.71996318025583 , 1 , 1
182 , 91 , Male , Oculus Rift , 52.63441843624198 , 3 , 5
183 , 63 , Male , Oculus Rift , 7.869168698446032 , 1 , 5
184 , 79 , Male , PlayStation VR , 48.82811507458242 , 9 , 4
185 , 59 , Female , PlayStation VR , 31.035479638140075 , 9 , 4
186 , 73 , Female , PlayStation VR , 53.01876989459791 , 10 , 4
187 , 42 , Female , Oculus Rift , 54.299523154664364 , 3 , 3
188 , 60 , Male , HTC Vive , 28.25382037211145 , 10 , 4
189 , 96 , Female , Oculus Rift , 35.62885676737956 , 2 , 2
